hicl,ingredient,support,total
551,potassium phosphate,5332,7273
553,potassium,1654,1654
562,calcium carbonate w/vitamin d,18,46
565,cal-citrate,44,44
575,calcium-magnesium-zinc,1,1
580,calcium-magnesium,3,3
581,calcium carbonate,1942,2935
582,calcium chloride,5206,5206
585,calcium gluconate,23160,27450
586,calcium lactate,2,2
588,calcium phosphate,1,1
589,calcium,21,21
606,magnesium carbonate,2,2
607,magnesium chloride,1254,1302
608,magnesium gluconate,59,65
609,magnesium oxide,16563,19253
610,magnesium sulfate,53540,75126
611,magnesium,29,29
616,pedialyte,14,14
624,tpn electrolytes,3,3
629,plasma-lyte,1808,1808
667,ferocon,2,3
669,fetrin,1,1
673,folitab,11,12
689,poly-iron,16,16
708,ferrous fumarate/folic acid,1,1
727,iron,281,281
733,iron dextran complex,7,8
734,iron,187,342
735,iron,841,1427
737,ferrex,96,163
739,ferrous sulfate,5506,5754
743,zinc gluconate,22,33
744,zinc sulfate,86,86
745,zinc,142,142
748,potassium iodide,10,10
752,iodine,6,6
755,copper,17,17
760,chromium,22,22
763,selenium,140,140
768,insulin regular human,20002,48424
780,humulin n,360,1014
787,humulin l,1,1
802,glyburide,1216,1349
803,glipizide,3422,4052
807,glucose,37875,46053
851,protein,7,8
852,amino acid,28,28
854,arginine,18,18
856,l-glutamine,5,7
858,lysine,16,16
859,levocarnitine,24,30
866,protein,1,1
873,ensure,147,356
880,spirulina,5,5
881,dietary supplement,1,1
882,duocal,49,54
885,osmolite,49,130
888,promod,58,112
915,1000 ml - dextrose,7157,16933
918,dextrose,56,56
920,levemir,1,2
926,dextrose,106319,116135
928,dextrose,1,1
929,dextrose,1026,1026
934,dextrose,3755,9840
936,dextrose-nacl,4477,9987
940,1000 ml - dextrose-nacl,2427,2427
958,vitamin a,143,143
960,beta carotene,17,26
962,stress formula,1,1
964,vitamin b complex/vit b12,1,1
967,b complex,102,208
972,yeast,4,5
973,potaba,7,7
978,cod liver oil,75,75
980,ascorbic acid/vitamin e,1,2
987,ester-c,1,1
992,vitamin c,1651,1667
994,ascorbic acid,2387,3402
995,vitamin d,1366,3049
996,vitamin d,6103,9522
999,calcitriol,716,886
1000,cod liver oil,9,9
1004,vitamin e,4,4
1005,vitamin e,5,5
1006,wheat germ oil,4,4
1007,vitamin e,3,3
1011,prenatal vitamins,54,74
1023,multi-vitamin,44,48
1037,biotin,20,20
1040,phytonadione,1871,1950
1049,vitamin b12-folic acid,480,501
1053,vitamin b-12,1302,2572
1055,vitamin b12-intrinsic factor,13,13
1061,nephrocaps,538,1256
1062,folic acid,17984,17993
1063,leucovorin calcium,62,62
1064,niaspan,292,348
1066,nicotinamide,6,7
1067,calcium pantothenate,1,1
1068,pantothenic acid,1,1
1071,vitamin b-6,158,341
1073,vitamin b-2,12,17
1075,thiamine hcl,5352,9690
1077,vitamin a & d,21,23
1080,total b with c,13,29
1082,multivitamin,1,3
1084,stress formula,2,3
1085,thera-m,16,21
1086,multivitamins with iron,5,12
1088,therapeutic m,7,8
1089,multivitamins w-calcium-iron,23,45
1092,vitamin b complex,52,52
1095,multivitamins,92,94
1096,vitamins/minerals,796,804
1097,vitamins/minerals,1939,2323
1098,multivitamin,820,839
1099,multivitamin,2097,4220
1100,allopurinol,7072,7558
1104,desferal,3,3
1105,calcium disodium versenate,3,3
1107,cyanide antidote package,2,2
1108,sodium thiosulfate,4,4
1117,charcoal,5,5
1119,polibar acb,2,2
1126,florical,8,8
1127,sf,18,34
1136,hydrochloric acid,25,25
1137,l-glutamic acid,6,6
1142,gaviscon,2,2
1144,sodium bicarbonate/sodium citrate,1,1
1145,nasa mist,9,11
1146,alka-seltzer,16,16
1153,rolaids,6,6
1157,calcium carbonate/magnesium carbonate,3,3
1162,maalox advanced,68,69
1163,calcium carbonate,3537,5383
1168,alum & mag hydroxide-simeth,3992,7036
1169,mag-al,10,10
1170,magnesium hydroxide,46,46
1173,gaviscon,16,16
1179,aluminum hydroxide,10,10
1183,magaldrate/simethicone,1,1
1186,carafate,629,1182
1187,misoprostol,17,33
1212,lactaid,17,41
1221,digestive enzyme,2,2
1224,simethicone,1679,1832
1232,pectin,4,4
1234,kaopectate,29,31
1235,lomotil,357,545
1236,loperamide,535,1026
1239,lactinex,282,531
1240,acidophilus-pectin,2,3
1241,lactobacillus acidophilus,404,784
1246,pepto-bismol,34,56
1252,align,45,47
1255,paregoric,11,11
1289,sennosides,6381,14296
1301,bisacodyl,34865,46613
1312,colace,36,38
1319,mineral oil rect enem,1088,1567
1324,docusate calcium,801,819
1326,docusate sodium,33591,59475
1327,magnesium sulfate,1,1
1328,magnesium citrate,53,71
1329,magnesium hydroxide,10797,20545
1330,enema,339,409
1331,sodium phosphate,2,2
1335,metamucil,2,4
1339,konsyl,4,4
1340,metamucil,6,15
1341,citrucel,48,55
1346,fibercon,56,91
1370,ursodiol,761,866
1373,prevalite,51,62
1374,colestid,26,50
1388,pancreatin,37,37
1396,lactulose,11795,14667
1397,acetohydroxamic acid,3,3
1400,testosterone cypionate,38,69
1401,delatestryl,3,4
1403,testosterone,283,484
1404,android,1,1
1412,oxandrin,3,3
1416,lipiodol,1,1
1418,depo-estradiol,1,1
1421,estradiol,234,429
1424,premarin,252,287
1429,menest,25,26
1430,ethinyl estradiol,2,2
1431,ogen,5,7
1438,estrogen & methyltestosterone,11,12
1440,progesterone,3,5
1441,hydroxyprogesterone caproate,2,2
1442,provera,56,132
1443,aygestin,7,7
1452,necon,9,9
1453,nortrel,4,10
1454,lo loestrin fe,13,15
1455,junel,11,25
1456,kelnor,3,3
1457,ogestrel,2,2
1459,norethindrone,65,78
1460,altavera,13,38
1478,lidocaine hcl,5888,10228
1516,benzocaine,14,16
1518,prilocaine hcl,2,2
1519,cocaine hcl,1,1
1534,cepacol,2,2
1543,doxapram hcl,1,1
1545,ammonia,1,1
1554,etomidate,1129,1131
1555,ketamine hcl,7,12
1560,luminal sodium,22,22
1561,phenobarbital,359,359
1564,amytal sodium,2,2
1566,butabarbital sodium,9,9
1574,butalbital,15,15
1586,tryptophan,1,1
1588,valerian,9,9
1592,restoril,2682,3495
1593,flurazepam hcl,9,9
1594,halcion,32,61
1608,hydroxyzine hcl,1312,1318
1609,vistaril,172,185
1610,chlordiazepoxide hcl,150,150
1612,clorazepate dipotassium,110,154
1615,diazepam,9303,13920
1616,oxazepam,16,16
1617,alprazolam,9850,17967
1619,midazolam,23104,50918
1620,buspirone hcl,1114,1162
1621,chlorpromazine hcl,208,208
1624,fluphenazine decanoate,31,31
1626,fluphenazine hcl,27,44
1627,perphenazine,144,144
1628,2 ml - prochlorperazine edisylate,2404,4917
1629,prochlorperazine maleate,2190,3906
1630,trifluoperazine hcl,109,109
1631,thioridazine hcl,82,82
1640,parnate,4,4
1641,imipramine hcl,112,130
1643,amitriptyline hcl,1803,1812
1644,nortriptyline hcl,404,519
1645,desipramine hcl,10,16
1646,vivactil,5,6
1648,amoxapine,2,2
1650,doxepin hcl,442,444
1651,maprotiline hcl,1,1
1652,trazodone hcl,7159,14323
1653,wellbutrin,1090,1551
1655,prozac,1277,1312
1656,amitriptyline hcl/chlordiazepoxide,3,4
1660,haldol decanoate,1,2
1661,haloperidol lactate,4821,14961
1662,haloperidol,1007,1642
1664,loxitane,5,9
1668,thiothixene,22,22
1669,lithium carbonate,57,61
1670,lithium,444,445
1671,trimeprazine tartrate,2,2
1672,cyproheptadine hcl,55,55
1675,cepacol sore throat,93,108
1681,ethanol,2,3
1682,ritalin,230,271
1687,meperidine range,1545,2646
1694,morphine,60227,97857
1695,hydromorphone,13613,41135
1696,opana,58,85
1699,asa-butalb-caffeine-codeine,17,19
1713,butalb-acetaminoph-caff-codein,46,56
1717,tylenol-codeine no.3,199,344
1721,codeine phosphate,32,32
1722,codeine sulfate,21,22
1730,norco,18088,43439
1731,hydrocodone bitartrate,93,95
1739,acetaminoph-caff-dihydrocodein,32,32
1741,percocet,19184,31082
1742,oxycodone,12503,38955
1745,methadone hcl,1460,1679
1747,fentanyl,1436,1503
1758,opium/belladonna alkaloids,13,19
1762,buprenorphine hcl,2,2
1776,ponstel,2,2
1777,butorphanol tartrate,1,1
1782,talwin,4,4
1790,fiorinal,39,46
1791,orphenadrine compound,1,1
1794,aspirin,9106,9117
1796,aspirin/salicylamide/acetaminophen/caffeine,1,1
1801,aspirin/sodium bicarbonate/citric acid,1,2
1807,excedrin migraine,34,67
1811,aspirin/acetaminophen,1,1
1817,equagesic,18,18
1820,aspirin,64414,98617
1832,anabar,4,5
1845,salsalate,41,41
1847,diflunisal,2,2
1848,apriso,202,536
1854,fioricet,473,501
1855,acetaminophen/caffeine,23,43
1858,butalbital/acetaminophen,3,8
1861,tylenol pm extra strength,70,86
1866,acetaminophen,122848,168312
1868,ergotamine-caffeine,1,1
1869,ergotamine tartrate,1,1
1871,isomethept-dichloralp-acetamin,1,1
1874,naloxone,12803,31175
1875,naltrexone hcl,137,146
1877,dilantin,496,510
1878,phenytoin sodium,4,4
1879,dilantin,376,740
1882,valproic acid,267,507
1883,valproic acid,16,17
1884,depakote,1280,1913
1886,primidone,328,391
1891,zarontin,2,3
1893,carbamazepine,349,639
1894,clonazepam,5879,8503
1897,levodopa,39,39
1898,amantadine,467,468
1900,trihexyphenidyl hcl,40,40
1905,cogentin,322,638
1906,orphenadrine citrate,31,32
1924,robitussin long-acting,19,19
1925,dextromethorphan hbr,7,7
1929,tessalon perle,237,546
1938,robaxin,258,479
1941,parafon forte dsc,9,16
1944,soma,351,602
1945,skelaxin,44,67
1947,dantrolene sodium,132,135
1948,succinylcholine,1366,1368
1949,baclofen,1701,1760
1950,cyclobenzaprine hcl,1314,2588
1952,tigan,17,31
1955,marinol,98,160
1970,diclegis,2,2
1975,meclizine hcl,940,1209
1978,bethanechol chloride,116,158
1988,neostigmine,1072,2103
1990,mestinon,105,186
1994,donnatal,1,1
1997,belladonna,4,4
2004,atropine,5214,9537
2005,transderm-scop,1,1
2017,hyoscyamine sulfate,146,225
2018,hyoscyamine,17,17
2023,propantheline bromide,20,20
2028,glycopyrrolate,5511,5680
2037,librax,100,100
2038,clidinium bromide,1,1
2045,dicyclomine hcl,335,626
2047,flavoxate hcl,5,5
2048,ditropan,428,597
2049,nicotine gum,39,83
2050,epinephrine,2232,2459
2051,norepinephrine bitartrate,5307,12944
2058,metaproterenol sulfate,4,4
2059,dopamine,1523,1523
2060,dopamine,30,35
2065,dextroamphetamine sulfate,13,17
2071,terbutaline sulfate,9,9
2073,albuterol,17073,53624
2074,albuterol,10525,11317
2076,pirbuterol acetate,5,8
2083,ephedrine hcl,2,2
2084,ephedrine sulfate,1873,3222
2087,phenylephrine,5288,9310
2091,pseudoephedrine,38,85
2095,labetalol,14223,30748
2098,phenoxybenzamine hcl,7,8
2101,propranolol hcl,1030,1418
2102,metoprolol tartrate,61819,107327
2103,nadolol,902,977
2104,atenolol,6049,6502
2105,timoptic,115,161
2106,pindolol,13,13
2107,sectral,7,9
2111,phentermine hcl,29,40
2115,bontril pdm,1,1
2148,metoclopramide hcl,10586,25707
2150,xenaderm,37,82
2152,bromelain,1,1
2154,papaya,3,3
2159,santyl,270,321
2172,tucks,1,1
2180,moisture eyes,1,1
2184,glycerin,13,16
2195,eucerin,44,46
2208,lanolin,2,3
2215,altalube,32,77
2216,petrolatum,3,4
2220,mineral oil,29,29
2227,aloe vesta,9,9
2229,aloe vera,12,12
2285,emollient base,7,8
2287,beta care,1,1
2304,calamine,2,3
2306,calamine phenolated,1,1
2321,sclerosol,4,4
2324,desitin,2,2
2333,methylbenzethonium chloride,1,1
2343,peterson's ointment,1,1
2350,calmoseptine,94,106
2361,desitin,22,46
2394,aluminum acetate,1,1
2395,hypercare,1,2
2417,alum powder,4,5
2461,ala seb,2,2
2465,salicylic acid,4,6
2468,retin-a,9,17
2470,benzoyl peroxide,6,11
2476,isotretinoin,2,3
2557,scytera,4,11
2563,vicks vaporub,3,3
2564,eucalyptus/menthol,1,1
2565,ponaris nasal emollient,1,1
2577,theragen,77,177
2581,muscle rub,4,6
2583,muscle rub,8,25
2595,methyl salicylate,7,7
2600,sarna,33,42
2608,menthol,28,68
2615,campho-phenique,1,2
2619,venelex,5,7
2637,aspercreme,8,16
2687,phenol ez,1,1
2696,cetaphil,2,3
2703,betadine,3,3
2708,conti,5,7
2716,hydro,14,29
2721,hydroquinone,12,12
2724,chromelin complexion blender,1,1
2728,albumin human,12546,36287
2730,dextran,8,8
2748,glucose test strip,4,15
2749,fat emulsion,2525,3287
2765,lecithin,25,25
2766,gemfibrozil,474,753
2769,fish oil,1362,1408
2771,fish oil,81,107
2786,inositol,1,1
2793,lovastatin,1871,2218
2801,aminocaproic acid,1111,1111
2803,alteplase,4484,5843
2807,heparin flush,96,97
2808,heparin,3204,6551
2810,heparin,21376,62060
2812,warfarin sodium,20447,50486
2816,protamine sulfate,17,17
2819,pentoxifylline,136,223
2821,clomid,2,2
2824,somatropin,3,3
2826,octreotide acetate,273,300
2833,danazol,9,9
2834,bromocriptine mesylate,27,38
2836,metopirone,2,2
2839,vasopressin,1256,1256
2841,ddavp,10,11
2846,armour thyroid,59,76
2848,thyroid,32,32
2849,levothyroxine sodium,16370,28487
2850,liothyronine sodium,68,88
2854,propylthiouracil,13,80
2855,methimazole,139,210
2857,etidronate disodium,68,68
2859,"calcitonin,salmon,synthetic",43,97
2863,anusol-hc,120,253
2866,hydrocortisone sod succinate,1991,4171
2867,hydrocortisone,659,907
2870,prednisolone acetate,75,138
2871,orapred,5,7
2874,prednisolone,387,388
2875,methylprednisolone,18,37
2876,methylprednisolone,6645,20111
2877,medrol,1642,2423
2879,prednisone,30400,32625
2883,betamethasone valerate,3,3
2884,betamethasone,45,45
2888,dexamethasone,5325,10423
2889,dexamethasone,3551,4290
2891,kenalog,204,345
2892,triamcinolone diacetate,6,6
2893,aristospan,1,1
2894,triamcinolone,451,451
2896,fluocinolone acetonide,57,63
2899,fludrocortisone acetate,395,430
2900,aldactazide,41,83
2901,spironolactone,4944,6673
2906,benoxinate hcl/fluorescein sodium,3,3
2907,flucaine,8,8
2977,proctofoam,9,14
2979,nupercainal,1,1
3008,acetic acid,28,31
3022,gentian violet,1,1
3031,miconazole nitrate,80,178
3033,terazol,5,6
3055,domeboro,1,1
3093,chlorhexidine gluconate/glycerin/hydroxyethylcellulose,2,2
3144,phisohex,1,1
3161,nystatin-triamcinolone,74,77
3186,tolnaftate,5,8
3197,lotrisone,149,203
3203,ciclopirox,63,63
3204,naftin,2,2
3205,oxistat,6,6
3223,lidocaine hcl/benzalkonium chloride/alcohol,1,1
3233,tetracaine,1,1
3287,hydrocortisone,52,53
3288,hydrocortisone acetate,16,18
3289,hydrocortisone,20,22
3298,westcort,3,3
3302,betamethasone dipropionate,43,79
3304,betamethasone dipropionate,4,4
3309,desoximetasone,35,57
3316,fluorometholone,11,14
3317,fluocinonide emollient,4,5
3318,fluocinonide,225,238
3322,desonide,90,100
3324,halog,1,1
3327,temovate,75,121
3328,alclometasone dipropionate,1,1
3329,nasonex,423,728
3331,ta-poff,1,1
3336,crotamiton,1,1
3338,malathion,2,2
3344,avar-e,7,22
3345,sulfacetamide sodium,6,9
3346,sulfamylon,6,6
3347,silver sulfadiazine,123,228
3361,cortisporin,10,10
3363,neo-polycin,4,10
3368,cortisporin,7,10
3369,neomycin sulfate/polymyxin b sulfate,1,1
3383,bacitracin-polymyxin,20,28
3385,mupirocin,1870,2123
3389,muro-128,6,6
3407,opcon-a,514,521
3408,naphazoline hcl,2,2
3409,phenylephrine hcl/pyrilamine maleate,2,3
3413,visine allergy relief,1,1
3417,mucinex,112,165
3441,apraclonidine hcl,4,4
3449,acetylcholine chloride,2,2
3459,levobunolol hcl,4,5
3460,alcaine,6,6
3465,homatropine hbr,5,5
3467,diphenhydramine,311,317
3471,hydroxyamphetamine hbr,1,1
3473,cyclomydril,1,1
3490,blephamide,11,11
3495,dextran,3,6
3515,neomycin-bacitracin-poly-hc,1,1
3523,maxitrol,20,21
3530,pred-g,24,24
3565,mucinex,1,1
3586,trolamine,2,2
3594,acetic acid/hydrocortisone,2,3
3597,acetic acid,3,3
3607,antipyrine-benzocaine,2,2
3641,acetazolamide,164,214
3643,methazolamide,16,16
3646,diuril,19,23
3647,triamterene-hctz,269,722
3648,amiloride hcl/hydrochlorothiazide,19,31
3649,hydrochlorothiazide,8812,8966
3655,methyclothiazide,1,1
3659,ethacrynic acid,3,5
3660,furosemide,104652,168101
3662,chlorthalidone,541,541
3663,metolazone,767,1155
3664,bumetanide,5029,9181
3665,indapamide,62,64
3666,triamterene,145,151
3667,amiloride hcl,79,79
3672,isosorbide,1047,1047
3675,probenecid,72,72
3681,potass cit-sod cit-citric acid,1,2
3682,cytra-2,16,18
3687,k phos mono-sod phos di & mono,2113,2114
3692,fiber choice,3,7
3693,gastrografin,1,1
3710,ketostix reagent,1,1
3714,tiopronin,1,1
3715,colchicine/probenecid,5,6
3717,colchicine,637,824
3718,indomethacin,156,156
3719,indocin,100,190
3723,ibuprofen,4640,7112
3724,nalfon,1,1
3725,tolmetin sodium,3,3
3726,aleve,430,474
3727,naproxen,825,1231
3728,flurbiprofen,4,4
3729,sulindac,41,58
3730,meclofenamate sodium,1,1
3732,piroxicam,22,32
3733,voltaren,486,620
3736,ketoprofen,11,11
3746,alfalfa,2,2
3747,arnica,3,3
3754,flaxseed,49,61
3767,colon herbal cleanser,9,11
3770,lactose,5,5
3771,anusol,9,14
3774,hydrophor,22,35
3779,aloe vesta,12,12
3789,royal jelly,5,5
3792,polyethylene glycol,242,242
3794,sodium chloride bacteriostatic,2869,2892
3803,dy-o-derm,1,1
3808,propylene glycol,10,11
3810,glycerin,1,1
3811,hygiene,1,1
3815,flaxseed,48,117
3816,mineral oil,2,2
3817,castor oil,3,3
3824,citric acid,5,5
3836,sorbitol,13,14
3842,methylcellulose,3,3
3843,refresh tears,54,78
3848,gelatin,5,5
3856,cinnamon,25,33
3864,coconut oil,5,5
3871,ginger,8,8
3872,garlic,117,128
3882,aspartame,4,4
3893,cyclophosphamide,48,49
3894,leukeran,4,5
3897,hydroxyurea,150,184
3902,cisplatin,1,1
3904,carboplatin,17,17
3905,rheumatrex,29,33
3906,methotrexate,273,273
3907,fluorouracil,102,116
3908,mercaptopurine,173,187
3912,vinblastine sulfate,13,13
3916,adriamycin,13,14
3918,bleomycin sulfate,13,13
3923,megace,604,665
3926,tamoxifen citrate,170,170
3927,dacarbazine,13,13
3929,asparaginase,23,23
3930,etoposide,4,4
3936,penicillin g sodium,1,1
3937,penicillin g potassium,11,11
3941,penicillin g benzathine,3,3
3942,penicillin v potassium,64,64
3948,unasyn,13,13
3952,ampicillin sodium,43,43
3953,fentanyl,20,20
3957,nafcillin,1283,1283
3960,enoxaparin,28,33
3962,augmentin,488,549
3963,amoxicillin,350,350
3976,cefazolin,7559,11838
3978,mefoxin,1,1
3983,cefaclor,3,3
3991,ceftin,86,147
3996,ceftriaxone,7245,13077
3999,suprax,1,1
4003,tetracycline hcl,2,2
4010,demeclocycline hcl,21,21
4012,doxycycline calcium,373,440
4013,doxycycline hyclate,231,232
4014,doxycycline monohydrate,77,144
4015,minocycline hcl,167,197
4018,erythromycin ethylsuccinate,1,1
4020,erythrocin lactobionate,6,6
4022,erythromycin,105,134
4026,chloramphenicol,3,3
4029,neomycin sulfate,15,15
4032,gentamicin sulfate,147,163
4034,tobramycin sulfate,1,1
4035,amikacin sulfate,4,4
4038,cycloserine,4,4
4040,rifampin,200,212
4042,vancomycin hcl,21760,46420
4044,clindamycin hcl,220,276
4045,clindamycin,830,929
4047,bacitracin,937,937
4051,coly-mycin m parenteral,3,5
4053,aztreonam,38,59
4054,imipenem-cilastatin sodium,366,400
4061,sulfadiazine,21,21
4071,bactrim,1149,1803
4072,sulfamethoxazole,33,33
4074,sulfasalazine,130,162
4080,isoniazid,46,47
4084,pyrazinamide,1,1
4085,ethambutol hcl,36,42
4087,nitrofurantoin,102,182
4089,nitrofurantoin,62,65
4090,furazolidone,1,1
4101,hiprex,52,58
4104,methenamine,55,55
4108,phenazopyridine hcl,123,182
4117,trimethoprim,69,70
4123,norfloxacin,4,4
4124,cipro,175,192
4127,gris-peg,1,1
4128,amphotericin b,3,3
4129,nystatin,2917,3046
4131,ancobon,1,1
4132,ketoconazole,466,541
4137,clotrimazole,198,425
4139,miconazole,610,610
4142,quinine sulfate,8,15
4144,quinacrine hcl,2,2
4147,chloroquine phosphate,2,2
4150,pyrimethamine,16,22
4151,plaquenil,276,512
4155,paromomycin sulfate,1,1
4157,metronidazole,2032,3497
4162,pentamidine isethionate,5,8
4171,benzyl benzoate,3,3
4177,dapsone,140,144
4182,acyclovir sodium,9,10
4183,acyclovir,1062,1158
4184,ribavirin,99,100
4185,retrovir,15,30
4202,"immune globulin,gamma(igg)",25,48
4212,pneumococcal vac polyvalent,2793,8951
4227,tubersol,7,12
4254,silver nitrate,1,1
4256,periclean,2,2
4258,neosporin,2,2
4266,webcol,3,3
4267,hydrogen peroxide,1,1
4270,dakin's,18,22
4272,debrox,71,130
4285,sodium chloride,463,464
4292,sore throat,1,1
4295,chloraseptic,8,14
4297,chlorhexidine (periogard),5521,14714
4301,boric acid,1,1
4304,mouthwash,41,41
4308,sodium benzoate,6,6
4319,regular bevel needles,1,1
4327,insulin syringe,1,1
4329,nutrimix,16,16
4330,easiclose wide outlet,1,2
4338,fecal collector,1,1
4341,prevail panty liner,1,1
4347,detachol adhesive remover,3,3
4348,lisco,12,12
4350,solosite,2,2
4353,duoderm,7,13
4360,allevyn,1,2
4364,primapore,6,6
4371,digitex gold,5,5
4377,nitroglycerin,7,10
4383,ls plum primary set-ol,2,2
4391,nitroglycerin patient line,1,1
4394,thoracentesis set,9,9
4406,walker,47,55
4409,enema bottle,18,18
4410,glove box,3,10
4422,lancets,7,12
4435,catheter,1,2
4436,mono-flo,2,2
4440,arm brace,2,2
4460,saline sensitive eyes,13,14
4469,nebulizer,61,77
4476,insul-cap,37,40
4480,diphenhydramine hcl,15923,34466
4482,doxylamine succinate,9,9
4483,arbinoxa,1,2
4505,chlorpheniramine maleate,29,52
4508,triprolidine hcl,2,2
4518,cimetidine,74,107
4519,zantac,1039,1039
4520,ranitidine hcl,1733,2344
4521,famotidine,23276,44063
4522,axid,4,7
4523,azathioprine,138,207
4524,restasis,188,336
4526,cromolyn sodium,14,19
4528,"interferon alfa-2b,recomb",13,13
4529,prolastin c,11,16
4538,methacholine chloride,1,1
4542,calcium carbonate/multivitamin,6,6
4553,epogen,639,1473
4558,cytovene,1,1
4576,percodan,1,1
4588,compazine,2,2
4603,dramamine,13,23
4655,tyrosine,1,1
4665,cinnamon,10,16
4673,omeprazole,16150,22531
4676,camphor/eucalyptus/menthol,1,1
4703,optiray,2748,2748
4704,clindamycin,255,255
4710,polymyxin b sul-trimethoprim,12,22
4719,betahistine,1,1
4727,calcium sulfate,1,1
4741,dichloralphenazone,2,2
4744,clomipramine hcl,38,44
4763,metformin hcl,10116,11548
4766,aquasol a,1,3
4791,sotalol,786,946
4794,boudreauxs,11,25
4833,propafenone hcl,66,102
4834,clozapine,229,275
4841,polycarbophil,5,5
4842,propofol,30981,41833
4845,sprintec,84,113
4846,lorazepam,71104,96552
4851,cholestyramine,178,443
4855,atropine,91,91
4860,propionic acid,2,2
4867,botox,9,12
4868,fluconazole,529,905
4879,advil cold & sinus,1,3
4882,mefloquine hcl,1,1
4883,phenol saline,1,1
4884,phoslo,635,1170
4887,fibersource,25,26
4917,calcium carbonate/magnesium oxide,2,2
4947,ascorbic acid/ascorbate calcium,2,2
4948,vitamin c,46,46
5168,betoptic s,6,8
5173,prodrin,1,1
5175,ketorolac,4156,7725
5186,safflower oil,2,2
5198,pilocarpine hcl,50,61
5207,trypsin,12,12
5223,benefiber,35,40
5225,artificial tears,184,317
5236,tetracycline,17,17
5237,sulfamerazine,3,3
5243,myco nail,4,4
5251,arsenic,1,1
5267,omnicap,8,19
5411,vitamin a/ascorbic acid/vitamin e/selenium,7,7
5651,metipranolol,2,2
5754,vitamin b comp and c/folic acid/zinc,2,3
5859,calcium + d,563,1576
5867,gold bond,1,1
5888,nitroglycerin,3267,4778
5889,olsalazine sodium,1,1
5900,vitamin b complex,357,378
5959,centrum,357,358
6025,interferon alfa-n3,1,1
6031,doxazosin mesylate,988,1311
6035,ofloxacin,38,51
6036,estazolam,37,37
6037,ultravate,7,12
6055,ondansetron hcl,10483,28064
6063,isradipine,2,2
6070,neupogen,73,81
6071,ciprofloxacin in d5w,1045,1045
6072,ciprofloxacin,316,316
6080,ramipril,478,724
6081,podofilox,1,1
6089,etodolac,127,127
6091,bacitracin,18,19
6096,placebo #00,7,9
6106,fosinopril sodium,121,122
6110,lidocaine/aloe vera,1,1
6113,benazepril hcl,609,868
6205,felodipine,132,132
6215,humulin,384,762
6227,pravastatin sodium,4385,5575
6228,biaxin,78,107
6232,ticlopidine hcl,4,4
6243,vitamin a & d,1,1
6249,nicoderm cq,1639,3173
6250,pamidronate disodium,2,2
6270,artificial tears,2,5
6301,nipent,1,1
6306,magnesium sulfate,8126,24311
6311,nabumetone,161,164
6312,simvastatin,13787,19158
6316,cefprozil,12,12
